Country,ISO3,Indicator,Unit,Source,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Sub-Region,Income Group,Area (KM²),Density (KM²)
Puerto Rico,WBY,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,2.865685575033,0.03689485940655546,-1.2133091627202945,2.0453442146676917,-1.9056140609596848,1.054193039626825,-1.5410683304580024,0.9140452235725962,2.7836648672975652,0.27983143967070845,-1.7299911083860229,-1.9315593617327202,1.7868972403334515,0.7859222322533834,2.562149559654392,-0.12730695821145588,-1.360819677244478,1.9421825462371403,-0.7638390061204303,1.5942135366153005,1.7326564201003838,2.2597337713984347,0.37093518903650713,0.4435664581596357,0.5052850221842862,1.2382583849251612,2.9528533549551987,-0.7017042834518654,1.495693334258752,-0.6034327154906203,-0.6856805452295345,1.9365410121719195,1.5555304576866846,0.6675883304696715,-1.6664416028628146,2.73741617011619,2.896693822781666,2.8547209365633,2.02342147512101,0.6266481497834238,-1.7675020604810454,0.674211014554416,2.3368081095147586,1.7423520218654813,1.2037827985969125,0.3329106935069315,0.8674286445287183,0.32613107527302754,1.8110629321807687,-0.05106090868854318,-0.7545444605159373,-0.1933473091882263,-1.9614926343087236,-0.5044654443748273,-1.1443273424119416,0.21653828440631617,2.8787504922964704,0.8920219175782576,0.6201741899565478,-1.0125570361856155,2.890741589293781,-0.9887386262275437,East Asia & Pacific,Lower middle income,12018260.0,208
Puerto Rico,MPS,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,-0.3678728533085489,2.1823762104157804,2.8391525212143556,2.5321082028678186,1.4163507253844152,2.205289975858361,2.2348335438256877,-1.6463269118857502,2.9308241504086574,0.6971119846395353,1.2776953916609068,-1.1760568457189562,-0.24570619252123338,0.9489081131303663,1.4779023021898317,1.1320941544866479,2.785998203354205,0.21937744681091242,1.6691438182031617,-1.8974006377616086,-0.4501738802634434,2.2128986868520997,-0.21575477730811188,2.707859836192333,-0.30981409874634314,0.7540671378964547,1.4767810200557343,-0.9882289334470555,2.770800734135184,0.33133219244958667,-0.7965128714573808,-1.4792508191416864,0.24427134045291776,0.1826582255898015,2.86123240233701,-0.6615489514595061,1.7194028190462265,-0.7105591143871126,1.0689839917973143,0.5594814085865698,2.5773448124669596,-0.10692034154681984,-0.5495683881315436,-0.6247724609208909,-1.851490154432443,1.3149494768661776,-1.0417911346900097,-0.44174901289329926,-0.0007947111747483859,1.359103622597186,0.8659007180870697,2.9925011965896013,-1.4561120068407112,-0.2990167205471077,1.0824013529612593,0.01641293633035401,-1.0839778532317457,2.4069150096520566,1.0830030771199728,2.7405228020858594,0.9258229278907368,2.38843960899929,North America,Low income,12474982.0,58
Oman,PDW,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,-1.1558402460544515,1.3063195562448344,1.8799374288684745,1.306894352811491,-1.4925542579093303,0.8391527011217081,1.282110992392263,1.0948465466430508,1.172977401149673,1.096153559713914,1.8070910882229096,0.5745995817811873,0.9618662227923442,-1.2516017021317665,1.7988700715081372,2.031806219473565,-0.5917630321029681,0.06933587048644396,0.9238952438535728,2.9874068292575826,2.393284387970475,-1.0334904750118938,2.969307045824813,-0.8122124607808199,2.2822151013019525,-1.01773724539071,-1.7743806206134694,-1.9779379329046136,-1.9546230104373523,0.7033229379710604,2.76213312223679,-0.06472191830955976,2.3718607625954853,-0.2712699460588506,-1.269071606099986,0.9537142421452773,1.2425609127552981,2.813184254939131,-1.5571637388446935,0.28493645922995814,-0.8408573325978907,2.139762621247537,-1.5084027179248083,-0.20518426235200593,-1.7286427753022027,-0.2012006205362482,1.5158240159330392,-1.5936080109378163,-0.5807701229655557,-1.2598825179424376,-1.3300969460613215,1.4952700116668245,-0.2957080793914839,2.7949484928940507,-1.360089874039978,-1.95195687996639,2.8967990396622785,-1.3683238149230093,2.661993936450127,1.9976314504386279,1.13412471309526,-0.650743409552426,Sub-Saharan Africa,Upper middle income,495830.0,275
Monaco,UPT,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,-1.9754674540687172,0.7009977546628043,1.3189493988957448,2.398962037953157,-0.4842489477384164,-0.484445720408917,1.8016618015695327,-1.576926709243509,-1.8134210880567547,-0.1540897913649797,-0.058142195737307834,2.9724987251442663,-1.6307632841375073,-0.37999742949250237,-0.7311538096624575,2.097891875999176,2.7708065494139307,-1.8247212239216446,-1.2885072966013893,-0.6040624280483042,1.140003015199437,2.810513270684594,2.3386371104332593,-1.6086877308259395,1.2518969180480943,-0.8660566323607792,1.2368968852856952,-1.425346063851081,0.10909640762538686,2.498109139971623,0.6053711864804594,2.963720916748694,-0.9032328379846803,1.8699906369315324,0.7812345948911488,-1.2210498315557916,-1.124032331244808,0.203662686772891,0.006588742143259996,0.3311424965738414,0.7602969607165182,1.3600224407624624,0.017344884288218232,1.4323515186853806,-0.984402814139592,-0.8075837427804804,1.2499205184352329,2.713902844219928,2.528012659305853,0.1248405858495989,0.29714890853316067,0.04449051189078679,1.6969620068536502,-1.7400613062337527,0.25540465102998944,-1.951030816691377,-1.7524439924297086,-0.9463704983817882,2.328764564595125,-0.8226420016317979,2.7973215595667105,-1.5825111449461335,Europe & Central Asia,Upper middle income,11676450.0,259
Serbia,QHD,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,1.2702342088614467,1.3557737053309156,1.7831107037161464,-1.1569028845519989,0.8370950366887868,-0.8644996166864942,1.4509999428307974,-0.5833309961695825,2.2457570987493884,0.848537596687418,-1.4792992767910738,-0.2739953435062519,2.268465485157823,0.18909260043625054,0.8399026688240903,1.3054041353587844,2.0529696256250762,1.235781819008547,1.6065587050209098,-1.0852353455145658,1.5847840138055953,2.98146404005049,0.6733587373127561,-0.005890873182783363,1.8910733728396418,2.6093317963075418,-0.05516075835490497,-0.8083688416871142,1.1563142324122917,0.22700426174434352,0.24790671051476476,2.406660384863371,1.1691056979943961,2.408053008265017,2.881736825271118,-1.6715581993274324,-1.2317189724058957,0.6689707833100589,-0.20078274479162816,-1.187493211146911,0.015081564704087391,-0.2896169647151714,-1.3700466018185797,1.4185785130092499,1.2066292049620584,1.5490563797228387,0.8367314629788973,0.8232578244227406,0.8938106324944659,1.6044736534855022,-0.576045844652983,2.6404860287815106,1.206147216317277,1.624160893206712,2.058847627859061,0.7137739617283083,1.0889974686835666,-1.6400450028466071,1.2662398575911435,-1.062736037902714,1.8182079724527807,1.6114622011512063,South Asia,High income,14091499.0,106
Saint Vincent and the Grenadines,RGW,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,-0.867947992216731,-1.2726811615940181,-0.900565724361051,-1.2275014484517874,-1.4191601831264538,0.9382102130762395,-0.8160633135595512,-0.7736924991411609,-0.5166222515908363,1.4027369579126887,2.9123380443280027,-1.3838002316758877,0.6305295932950052,0.962831478244075,1.2355413564616171,1.4804046500616987,0.6484728255081706,1.300490334108245,-0.5580735718570178,-1.7187969278381252,1.910193851664423,1.0929074925009266,-0.07879323807047522,-0.17052614888863094,1.3318260177449015,1.742525680713916,-0.8138673260106826,-0.22878559651630037,1.4318643137416482,-1.364073911073546,-0.6531964459348325,-0.9908195297212461,-1.8661842490834522,-0.038445577526334596,-0.15579058694349168,2.476045262008868,-1.9071893137669165,-0.4389067062763341,-0.7953638095404463,-0.3444596124327526,2.7081953807018913,2.921895533135565,0.6726560278983347,0.018619264129330126,0.06179001525798489,-0.759682826274231,0.8992990411481694,0.14414719359981465,-1.4719317624972033,1.7905905699599405,-1.5205887280082713,1.1690880058635913,2.83871257488238,-1.8580937759347953,-0.5638353316579345,1.171632991441653,1.565293968771127,0.16285253291755408,-1.5898441995379202,-0.660235871242103,2.5990801077140295,-1.2369591242967386,Middle East & North Africa,Lower middle income,12928729.0,457
Comoros,IUN,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,-0.5397273479663716,0.633210853945354,1.3914581066930722,-1.4218792662143698,-1.778121268778706,-0.8042411858565788,-0.34337726380092226,1.307526476579862,-0.47334916908192337,-0.2362901982779464,0.8227948672747605,-1.5404685749947298,2.511913710738212,1.4872683249927512,1.0626286064593562,2.6576233790776573,2.3998845358963594,-1.8925677206687563,-1.7405348876714304,0.028928649731619238,1.1253987740384845,1.0456590087915592,-0.44680472687107153,-0.6670506302613248,1.4222995130438667,-1.7479366379592491,0.16113272438278425,0.3779493938813818,2.879627337371457,-1.3788741108404712,2.6988990739417495,-1.6120406394186209,-1.2608077899162333,1.0486471140899103,-1.9977831814966582,-1.1332187077384046,0.9840971701954211,0.5439534049954036,0.21434249326611088,-0.3582596836213403,0.21561504598642278,0.6567360176116854,0.6232813512318076,2.584627145983336,-0.3281902311126954,0.3203641601383831,0.49614736132673976,-1.7064489733749553,1.5602796592101256,-1.554914251442859,2.2116037099747237,0.8183095421813658,1.8967243592818162,2.310551065128166,2.3058904011696812,2.0493852274966597,2.810153997333993,2.0957321913996765,0.41881198837071,1.4376970898108312,1.0301738335159545,0.786312131681373,Sub-Saharan Africa,Upper middle income,14841216.0,337
Spain,POL,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,-0.9850245705737413,-1.1397008592745914,-0.6564639362555462,1.7883365062687857,-0.03917078732833801,-1.9261290967712235,0.2064971159096758,2.036567064697504,-1.4151332112149289,0.9917674468437423,-0.9417706827835708,1.5684998866898017,1.2401226148789481,-0.20698318877809307,1.123348189892412,2.50651416067008,-0.9377096595275141,1.948988833527181,2.707313109482257,2.1527721317509387,-0.8742744084558995,1.0236897157629068,1.8724745126223987,1.9424120153308522,-1.1059685698700477,0.6459234212446656,1.7467557413084824,-1.7773165618953994,1.0204555694885524,-0.06288870401060054,1.327134343451012,0.19367848513139663,-0.7910626041978572,0.8636963750789768,1.301656825528894,1.2158272781521409,-1.3791551040828436,-0.318812705473958,1.0375877725250113,0.967553098584272,-1.74787886165827,-0.9962562836923516,2.3779636507509974,1.041499215410469,-1.240696921977058,-0.499646084648782,1.383478869900201,0.22194565045737757,-1.3962277311493003,-1.4005184854394268,-1.6599515334234005,1.0389953758709973,1.4694416232997716,-1.6576389683473702,-1.6531716315042004,-0.683736019150639,2.599455439397193,-0.31241442796917585,-0.15404689990567255,0.2402373189436826,1.0796209468983444,-1.336676389993534,Europe & Central Asia,High income,9859416.0,8
Niger,RTJ,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,2.6958278092336014,-1.1885776945849051,0.5441340186362131,-1.6513808212250218,-1.9017330195357522,1.3052258750244166,1.6792511546077749,-1.1879709591383818,2.5407670058848106,1.6074174449986924,-1.643058604693639,-1.5243311050670614,-1.8463184264407806,-1.2621689177668927,2.8929915013447003,0.5754099282997895,2.620233267557407,-1.2937882189868342,-0.011049066086312065,2.0326479555440606,2.5521165287149046,-0.13971655772735403,2.413169991174218,-1.809574395734807,-0.260599586097781,2.8153563169171036,2.977764072317685,1.586455695490666,0.9841615363940721,1.4822469884972929,0.0758580202560446,2.6364420593956073,-0.4120635177716969,1.534646965844281,-1.909542535792153,-1.1184415840366944,0.02836680684757953,-0.754746360417226,-0.16817204934715946,0.09517119996878431,2.4517944208543483,2.4751365582051204,-1.6456841712380925,-1.0538555348195537,0.6708398601080843,2.7561518540423666,0.43792690701998893,2.0148865318144953,-1.8422355318765358,-0.37308217599760995,1.2926056193922895,-0.1835183864198935,-1.241362977087244,1.0661150197287412,-0.9605652616933114,-0.6114498350360398,0.3628128632619081,1.1197531187653782,-1.192824546226856,2.646573394782214,1.407621907348319,1.552551131270234,North America,Lower middle income,2946860.0,456
El Salvador,MXA,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,1.2311314442804222,1.098674743352828,1.8015008552605627,0.600455360744335,-1.357115116702236,1.437945373692366,0.07072102419562931,1.1608423118773787,1.612411423491161,2.9429788728663455,1.0398015366708986,0.8367420334112743,-0.659330065981143,2.585414759137267,1.310622317592777,-1.5758094360704145,1.5633836737003626,2.6658798747993036,-0.47376244174974325,1.2089684441299893,2.8817265408113624,-0.643375970424696,-1.571027098908194,-0.3325740762805838,0.7693834400789146,2.3938122150461263,1.624738408201086,0.20042876060407,-0.3604248334684139,2.877834672477933,-0.2732793523617061,2.2955527714280803,0.4472214003231265,-1.9897612708205457,2.844599396699609,2.5860286791525127,2.721514449073723,1.9977447933839398,2.9155750602452635,2.738758439487258,-1.1534188073624683,1.6435676648208535,0.8338256852902095,1.2622496733606998,-1.3860817575072453,-0.1770721989067492,-1.1385825240950607,-0.10444538752415022,0.8724295243553644,-1.1803314767027167,-1.051924764894372,2.330279512929546,-1.3928706582756882,2.9640068165758153,2.3744694084554254,0.387553103934708,-1.3878452688495762,0.5236399806263874,-0.25822793454054294,1.6576861906055784,0.1281107531717911,-0.5348588008196651,North America,Low income,7759418.0,139
Monaco,TJF,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,0.8846745246308525,-1.1080978527156775,1.3894308478626538,2.1949894445872458,2.156505824520858,1.0670233344893112,-1.621419543103853,2.2321874388876477,2.9867008553842576,-1.9200066965771827,1.0525053994832447,0.38618325430706957,-0.13300188900680965,0.6508529800311278,0.7732820139875574,-1.1947279029419788,2.22386408421212,1.577983287070916,0.2918075735592791,1.8484051848438972,-0.6980237027442837,-0.903020399401536,2.991209003134501,-1.4391591764690523,2.531638904850497,0.2077855044689927,1.3813825418367456,-1.7457563723018432,1.1946015032821857,0.7097092805404892,2.034659383109835,1.481419276678019,0.2784621081876768,-0.9823637351417114,0.3480375823459858,2.1553414286938564,1.756420624639417,-1.6038614556577406,-1.4649366774840415,2.3418131294003475,0.1015667092760082,1.0297308741374858,0.6199099847825784,0.12346466798200506,1.682587428628584,0.8313635065144629,-1.686467541249515,1.8400006051911326,-1.689770628839545,-1.6256377960660284,1.1390255340786242,2.5813814911245645,2.4886392736276646,1.3121385192944146,0.357459108492991,-1.859314545351538,-0.011324843174566501,2.1366385855363363,-0.6744937398459325,-1.4160384817559462,-1.9342971798765896,-0.3735119325364882,Sub-Saharan Africa,High income,11620352.0,294
Svalbard & Jan Mayen Islands,JZM,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,1.7593709310484966,-0.35612856719201935,1.088225102411815,-1.2500934852552386,0.7905031957911897,0.17056957547419938,1.6290657836825764,1.5606046759945342,1.1086128100435961,2.106499437559533,2.7655615453428446,0.7602526635045499,-1.751626727768603,-0.30867650218352916,-1.976877646289205,2.287947491691452,2.9862878433832503,2.666861069397757,0.15001877819134712,-0.43146159678260965,-1.4459574872769685,1.4852387539262857,1.1120098248895536,-0.14749954342386062,-0.6207116051824224,1.2619431184688494,-1.4728401360302328,0.05836696075530856,-1.1190759497368756,-0.7168012586446664,-1.6961258659229705,0.5985406089506062,0.6809936821909979,2.588765564026189,0.6234549191280316,-0.9752276139554787,-0.40879175814800606,0.3337723542348461,2.7547782962734777,-1.4639523194064101,1.9668465997473317,-1.18646452721681,0.2901336967699044,0.13968578475820692,0.09926307109114685,0.11633161698872962,-1.382278845049491,0.6333596438931961,2.1458393451089,1.2661083130888962,2.2198886727305895,0.056895986959428324,0.9643361664814871,0.18313477259681132,2.05609440372338,1.786016953584796,-0.19144915472373447,-1.1512508187473958,0.9134456884920423,2.6249828717507926,-0.8406607954849215,2.359088666195416,North America,Upper middle income,6916476.0,135
Netherlands Antilles,WVU,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,-0.2863228543228522,1.1885263222678528,0.14748055873706356,-0.7854532407204944,0.1413653201436098,1.199706367337623,1.3761974421315517,0.9983827868259771,1.6562795017366807,-1.026911263528492,0.5124530590799492,-0.42828026406858655,0.3222402187489437,0.3291041515604931,2.8909680739064365,-0.8860445546762796,-1.4993855828508866,-0.9226744671637936,-1.742175025984412,1.7370015512933223,1.1551925928426456,2.343247291736411,2.0474219997002256,-1.203967418548813,0.2738196537394133,1.2449581734170474,1.0151708100890295,-0.4528018335393751,-1.7043365694820338,2.76965859506298,-1.6059124442673272,-0.7015676923638692,1.6131985733863505,2.380066848684301,0.9953202921738016,0.9422766693907438,-0.08222134185760277,0.9373473202273126,1.7619729261495798,2.743432741706547,-0.9665918975975578,-1.9933534813783398,1.5756500651098118,-0.6882584331406387,2.3487571990305067,0.39490115433076145,0.6119031016978833,2.6422534653324323,1.6191179417460253,-1.7574143613737452,-0.15688769807590863,0.4680368988617012,-1.703278439803411,1.9053933376925771,2.544597529973795,0.9691992979048729,-1.5629458318011185,-0.20427337762316844,-1.8754453688729278,2.333187002787028,1.2538570252176893,-1.938392453591609,South Asia,Low income,15297474.0,78
United States Virgin Islands,QHS,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,0.5509680439797582,-1.0041834515285286,0.7374373115141144,-0.5049971590410456,-0.44920647927041646,1.1249836049228903,-0.8636221326013791,1.9583207879518776,-0.31845159655066846,1.9258807482857523,0.25589967995451257,-1.962104869148114,1.508840444854067,2.519626220621224,1.5013353512503604,1.1802678578386163,0.5886701613232486,0.9033544855123603,0.3678396511340294,-0.999406561064216,-0.4567528957555087,2.692289183379465,-1.6547528178460806,1.1930442888584816,2.220978459270354,2.0957484273725617,2.749859494226186,-0.9169158833262467,-1.3703941884556774,1.9221410003526849,1.8421205681644173,-0.05168556726945428,1.4624764300995654,-0.12153027501810953,-0.32750276421276414,0.9944639652485088,-0.6597714137651756,2.998684829415792,-0.4957393947403048,-1.8341416878864756,1.180255623242707,1.057031411583516,-1.0167205846759946,1.4029487876716598,0.9389514585583298,1.1628418242648344,2.283463370181984,-0.6130096983180819,2.9401130769155603,2.2524025047266676,-1.3268394087792945,1.8761623021526437,0.963923963791435,-1.9185592851401698,-0.39591250766512087,1.9990073791629719,1.8844131629585328,-1.8026755678778073,0.3204965500676975,1.7123451896572828,1.7620111200454884,1.3993822488326657,East Asia & Pacific,High income,10186890.0,207
Nicaragua,NLH,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,-1.7634704950880131,-0.9479031399735276,-1.8217381628273892,-0.22509672577927997,1.432731013869935,1.676128937233543,2.552167836661342,0.5521849128788174,2.2466642072395597,0.7690094569686909,-0.7148969205418751,2.6917751270956263,-0.34537611383959366,1.066636415492297,1.131322996837353,1.187441149547091,2.2513949585533295,-0.9860651645018024,1.5186398201533535,0.9472978285139022,0.7942208439856806,0.01037839067203361,-0.854908718024725,-1.738588134590462,-1.0750295877800808,1.2227118767811707,0.031255717971542474,2.49969176296659,2.2806763557859036,2.3043726540039584,0.18474195851221697,0.38292305231255064,1.1868379654407946,-0.20741232267363174,-0.2665058502302897,-1.9570910074116559,1.892112047525579,0.28393914525228725,-1.2945186056696478,0.35582442032188766,2.532598327733144,-1.4842121817747749,0.3142358830534313,-0.3896851902863756,-1.9259557444378888,-1.031425096096561,1.3286698035407616,0.5478884340466355,1.0773384769954824,1.1690128748991642,2.271435130343347,-1.9961172250297603,-1.8160593215396168,1.6017690364959165,0.58512279276859,1.979510356361542,1.8442882729764194,-0.47689631885826733,-0.4529550982247226,0.008354910100194513,-0.22292307762255215,-1.7008063674019085,Europe & Central Asia,Upper middle income,15453214.0,121
United Arab Emirates,LUD,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,-1.691143853995961,-1.957311664939819,1.8324276144215985,-1.9655842676062263,1.8658075935762914,1.8488161351915275,0.2671491584542496,1.5517544890448152,-1.6460772023822465,-0.7853146630319108,-1.068963819436255,1.7372643688672076,-1.175407671286076,2.8672593645802706,-1.2795760378166792,0.35563019148488895,2.2379504161342343,-0.2194002846189096,1.0900836212625031,0.2787416002951595,-0.639955765282878,-1.6365836556897178,-1.8850706506687347,0.2966416130188154,1.0308149912578197,-1.2242333660015814,2.872240199543966,2.3761975889222287,-1.1517278096969061,2.740484801697403,-0.7090189419820563,1.153139981551265,1.2107848283960645,1.0070853892742426,0.018130349014775504,2.855828567177091,2.6877347123627677,-0.04874569220892955,0.7252828165130891,-1.1933547434046554,0.31358297711690764,-0.1330707387428669,1.6594898264595237,-1.533795611958663,2.2797694303419807,-0.18255280279518482,0.2880568987079233,2.9364894278793887,-0.8374381097728731,0.3282413043210113,-1.4425339676276705,-1.5796020806831321,1.3491141206760853,0.09355888080394248,2.365221411495096,-1.9821489272428465,1.0781073430059749,0.45914845881362476,-1.3769476357940835,0.3269722487047755,-0.3609101973520157,2.576613343522654,East Asia & Pacific,High income,251191.0,134
Jersey,NHX,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,1.3830611929304792,0.23457527271724965,1.4729431293861843,-1.6395498377680044,-0.6273602705145547,-1.6148929987133132,2.4837194098626947,2.5508608238719974,-0.9631177192529448,0.14129660707745106,1.0431866909633887,-1.529426339087853,-1.8485093104869899,2.146861808539221,2.7052400255525706,-0.3816988848450831,1.6580857521409458,1.6496196580545042,0.09361203688364217,-0.034791420392792816,2.090929486500997,-0.7788616865318547,0.779524344669678,1.1814599839187552,-1.3232403280719751,2.249110797286674,-1.1270844597504464,0.9803086930581726,1.3113212419140838,-1.7760783782669298,-0.6098032720924533,1.9517443506898164,2.893961965608285,-0.8558010587275005,0.6672479634985291,-0.12710398627483732,2.6964862376818157,0.6125880248147975,2.598708532776987,-1.6523612270920123,-0.9139399107647888,-1.2429994800613464,-0.6287674212307675,-0.8347994149278641,2.7607210787528933,0.603244216779752,-1.281691163003959,0.3393833331449261,0.6955089734412638,2.9544534713090815,0.0232387384044781,0.16556324008564616,0.5098374011833782,0.6277018806954668,-1.6198775484055772,0.18357323964958727,-0.9801807813318573,0.19501200419024745,2.83905662850149,1.9471995988943354,-0.4729951881139587,0.977660706186608,North America,Low income,2563570.0,182
Mauritania,DYX,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,2.775978894664841,-0.19988059212708675,2.193185577390696,0.8540299190083136,0.01322424090710106,1.2395759135758277,2.023377950111782,1.8782085690268837,0.3996123092848536,-0.0923921946337023,2.506723911575154,0.1955719950050323,-1.413080398658752,1.3618836331513453,-0.2516955529306435,-0.6010128488419213,2.7481111114406147,2.7778704844223796,1.8276125232353908,-0.9425094431763541,2.9805439429060625,0.7987194279785221,-1.998518039482018,1.996528767369015,0.9122812213323561,-0.3955558430974526,2.1394580685991116,2.9178836842274993,2.4957800183607173,-1.3670501044829653,0.20471315466073303,-1.142295134058902,1.6258953556532565,1.1116376053222754,2.1946728901588752,2.0532077863440756,-0.4906711510802686,1.1423632500310044,-0.3260293701950838,-1.9551346782854566,2.6218681754180917,-0.005284652498236397,1.483802839877113,0.6230824161808148,-0.8380904768144963,-1.658523403306674,-1.2332201565981435,-0.6862710525697773,0.26439271969667333,0.04844814627001215,0.7825430873165469,0.8434502185841137,1.0554832681435795,-0.13881534790848393,2.832247756058484,0.010352373773656609,-1.2371829764591769,2.3165647063754466,-0.6056666671585296,-0.9053184195962176,-1.7610098487117143,2.3346435301942847,East Asia & Pacific,Lower middle income,7777315.0,369
Montenegro,PXE,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,2.2738825898093644,2.9210325613540293,-0.9746740133999343,-0.0356501683756576,0.8985756681886006,2.4824268052496343,1.655280011063577,0.6616244805421485,-0.44694024262667487,2.856374192211831,-1.958644110775281,-0.013443855725128628,1.4012929259130416,2.8932984517334965,0.9077302901355928,0.9789694836131364,1.5909520155206422,-1.0451699618400498,-1.0282377855425966,-1.2107475475589085,0.9431617697272161,-0.20298049067454116,-0.13283835136873678,0.3246046571570931,2.710739426948983,-0.9553041930153703,-1.657512168619316,0.10770232514244249,-1.8700054119776903,1.7821217591426586,2.7033550983220787,-0.9569187823092822,2.011170869378189,2.2649800785903382,0.9144407020170155,2.766122369947335,-1.7320299805760857,-1.0916805566245007,-1.438693796789606,2.1609523169840505,2.9146227005140446,-0.1116728691426665,0.21333277645175341,1.2171718082045593,2.1897363264652263,1.7466811565855491,0.8159002379024658,2.1427294184567103,-0.8533139685511353,2.8723781901851817,-0.1781174002315038,2.2285816393402644,2.3237962911911145,2.675895141620275,1.6693820890907025,0.943444081895592,1.184845039381044,-1.3721317062100074,-1.1824786067287874,-1.0037463884017654,2.6455152224285516,1.910868533163692,East Asia & Pacific,Upper middle income,1377175.0,48
Sweden,SVM,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,2.2799225528225593,-1.3711684673465878,-1.0323507235308775,0.976768594521062,-0.6219577380840557,0.16275833923942784,-1.5258630347718949,2.16439798239408,1.1090993733153676,-1.5992095778315805,-1.4277119977993862,-0.7884264218941839,2.9668781694595383,1.8725061785541315,1.66741870790512,0.2761555447323416,-0.0019932385811780584,1.469326669108761,2.9198292746451378,-0.3472403077582258,2.5570918997632432,-1.8180910241952246,-1.7386606047068802,0.8344449447670788,-1.23971335137996,1.9176452565217468,2.632924023587239,0.0021312445479861886,0.5952146965596952,-1.6144561890655806,2.924195191216704,2.5771755768464564,-1.09759811574169,0.11754698854288659,2.85899345566924,-1.8888217117778048,-0.7172854289618389,1.2540211401674428,-1.9674633044852383,2.199602644460147,2.410138969831592,-0.9411066807480672,0.25349153136646585,0.554208696199594,1.5596643151272294,-1.9251225905996394,1.7493655543675501,-0.10542642897679078,2.042740610964115,-0.10059495348606884,0.9065416008573863,-1.5358868683211384,-1.2102700154737467,0.18293027095646686,2.731806570490197,-1.567776928428794,-1.4514484811667203,1.653541761340076,2.661608292404247,-0.123127520239799,0.9666140662583738,1.6013385762649515,Sub-Saharan Africa,Lower middle income,7163697.0,72
Saint Barthelemy,NBQ,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,-1.6299788058201763,-1.5782895914289083,2.041843741668454,0.25401428163949547,2.805363066759723,-1.3524376472915711,1.1058931397584333,1.0085257680388358,-1.7628058355884235,0.13547362752015957,-1.3489935321227406,2.548546047143402,2.684355069842389,-0.8268456696491255,0.828716355769787,1.1399946046920366,0.4722468693434747,1.9815223959245376,-0.08468268562486103,2.016819346861081,-1.6333658150697343,2.2024024856840523,1.1934386643352308,2.5600847597759593,-1.7786790588863493,-0.976292133530817,2.520382304300198,2.2742201637263095,-1.8147289779027274,-1.3129279473649658,2.3579117697164147,-0.5964841744892055,1.5513735868570673,0.8452999260549956,2.0006314188978624,0.535429387261499,0.8269710240443273,2.119961915787872,-1.2152597255507058,-0.5719092856137058,2.1904479671966586,2.416679221554861,-0.09392086285918033,0.9328863027490497,2.0614166532991556,-1.2074166263087283,1.6552860447360702,-0.9426639088429594,0.3646067791495078,-0.45265475583603143,-0.019613882918406045,-1.1612061653392574,2.1983361379555237,-0.16768479526089264,0.5043685482146918,-1.636209214075671,2.2985911285523484,0.21894029598387643,1.6232124435322288,2.428750637855588,2.2204583335707655,0.4496576100376539,Sub-Saharan Africa,Lower middle income,12389448.0,62
